CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola
26224623,NUCLEO DE TECNOLOGIA EDUCACIONAL COMUNICACAO E IDIOMAS,23,3,20,25,Em Atividade,N,S,N,S,N,N,Pública,URBANA
26224631,EDUCANDARIO ESPACO ACONCHEGANTE,9,10,0,1,Em Atividade,N,N,N,N,S,N,Privada,URBANA
26224658,OPVEST COLEGIO E CURSO,19,5,0,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26225603,ESCOLA MUNICIPAL PROFESSOR JOAO FRANCISCO DE SOUZA,46,12,26,28,Em Atividade,N,S,N,S,N,N,Pública,URBANA
26225611,EDUCANDARIO NOSSA SENHORA DA CONCEICAO,10,8,8,8,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26226600,CRECHE NORMA COELHO,31,11,0,1,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26227606,ESCOLA MUNDO MAGICO,6,6,0,2,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26228602,EDUCANDARIO SAO FELIX,6,5,0,1,Em Atividade,S,S,N,N,S,N,Privada,URBANA
26179245,ACADEMIA DE EDUCACAO EVANGELICA EMANUEL,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26179288,ESCOLA TIA GRINAURA,8,7,1,1,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26183811,ESCOLA LUCIA MOURA,8,8,6,7,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26213206,INSTITUTO PERNAMBUCANO,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
